product_id,product,产品别名
1,防火墙,"FW, 边界防火墙, 网络防火墙, firewall"
2,入侵检测系统,"IDS, 入侵检测, intrusion detection"
3,入侵防护系统,"IPS, 入侵防护, intrusion prevention"
4,无线接入设备,"AP, 无线AP, WiFi设备, 无线接入点"
5,网闸,"数据隔离网闸, 安全网闸, 物理隔离设备"
6,抗DDoS攻击系统,"DDoS防护, 抗拒绝服务, DDoS防护系统"
7,抗APT攻击系统,"APT防护, 高级持续性威胁防护, APT防护系统"
8,防病毒网关,"杀毒网关, 病毒防护网关, 反病毒网关"
9,安全审计系统,"审计系统, 日志审计, 安全日志系统"
10,数据库管理系统,"DBMS, 数据库系统, 数据库"
11,业务应用系统,"应用系统, 业务系统, 应用软件"
12,服务器,server
13,终端,"客户端, 工作站, PC, endpoint"
14,交换机,"网络交换机, 以太网交换机, switch"
15,路由器,"网络路由器, router"
16,机房,"数据中心, IDC"
17,中间件,"应用中间件, middleware"
