basic_id,content,source_standard,identifier,requirement_item,section_level1,section_level2,section_level3,section_level4,section_level5,applicability_level
1,"1 范围
本标准规定了网络安全等级保护的第一级到第四级等级保护对象的安全通用要求和安全扩展要求。
本标准适用于指导分等级的非涉密对象的安全建设和监督管理。
注：第五级等级保护对象是非常重要的监督管理对象，对其有特殊的管理模式和安全要求，所以不在本标准中进行描述。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,null,信息安全技术网络安全等级保护基本要求,1 范围,null,null,null,通用
2,"3.1 网络安全 cybersecurity
通过采取必要措施，防范对网络的攻击、侵入、干扰、破坏和非法使用以及意外事故，使网络处于稳定可靠运行的状态，以及保障网络数据的完整性、保密性、可用性的能力。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,null,信息安全技术网络安全等级保护基本要求,3 术语和定义,3.1 网络安全,null,null,通用
3,"3.2 安全保护能力 security protection ability
能够抵御威胁、发现安全事件以及在遭到损害后能够恢复先前状态等的程度。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,null,信息安全技术网络安全等级保护基本要求,3 术语和定义,3.2 安全保护能力,null,null,通用
4,"3.3 云计算 cloud computing
一种通过网络将可伸缩、弹性的共享物理和虚拟资源池以按需自服务的方式供应和管理的模式。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,null,信息安全技术网络安全等级保护基本要求,3 术语和定义,3.3 云计算,null,null,通用
5,"3.4 移动互联网 mobile internet
采用移动无线通信技术，将各类移动终端与互联网进行互联的网络。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,null,信息安全技术网络安全等级保护基本要求,3 术语和定义,3.4 移动互联网,null,null,通用
6,"3.5 物联网 internet of things (IoT)
将感知节点设备、传感网络、业务应用等通过互联网进行互联的网络。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,null,信息安全技术网络安全等级保护基本要求,3 术语和定义,3.5 物联网,null,null,通用
7,"3.6 工业控制系统 industrial control system
用于工业生产控制的各种自动化控制系统的总称。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,null,信息安全技术网络安全等级保护基本要求,3 术语和定义,3.6 工业控制系统,null,null,通用
8,"3.7 安全通用要求 general security requirements
不管等级保护对象形态如何必须满足的安全要求。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,null,信息安全技术网络安全等级保护基本要求,3 术语和定义,3.7 安全通用要求,null,null,通用
9,"3.8 安全扩展要求 specific security requirements
针对云计算、移动互联、物联网、工业控制系统提出的特殊安全要求。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,null,信息安全技术网络安全等级保护基本要求,3 术语和定义,3.8 安全扩展要求,null,null,通用
10,"3.9 安全技术要求 security technical requirements
等级保护对象应满足的安全技术方面的要求。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,null,信息安全技术网络安全等级保护基本要求,3 术语和定义,3.9 安全技术要求,null,null,通用
11,"3.10 安全管理要求 security management requirements
等级保护对象应满足的安全管理方面的要求。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,null,信息安全技术网络安全等级保护基本要求,3 术语和定义,3.10 安全管理要求,null,null,通用
