cp_id,content,source_standard,identifier,requirement_item,section_level1,section_level2,section_level3,section_level4,section_level5,applicability_level
1,1 范围 本标准规定了不同级别的等级保护对象的安全测评通用要求和安全测评扩展要求。本标准适用于安全测评服务机构、等级保护对象的运营使用单位及主管部门对等级保护对象的安全状况进行安全测评并提供指南，也适用于网络安全职能部门进行网络安全等级保护监督检查时参考使用。注：第五级等级保护对象是非常重要的监督管理对象，对其有特殊的管理模式和安全测评要求，所以不在本标准中进行描述。,信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,null,信息安全技术网络安全等级保护测评要求,1范围,null,null,null,通用
2,3.1 访谈 interview 测评人员通过引导等级保护对象相关人员进行有目的的(有针对性的)交流以帮助测评人员理解、澄清或取得证据的过程。,信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,null,信息安全技术网络安全等级保护测评要求,3 术语和定位,3.1 访谈,null,null,通用
3,3.2 核查 examine 测评人员通过对测评对象(如制度文档、各类设备及相关安全配置等)进行观察、查验和分析，以帮助测评人员理解、澄清或取得证据的过程。,信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,null,信息安全技术网络安全等级保护测评要求,3 术语和定位,3.2 核查,null,null,通用
4,3.3 测试 test 测评人员使用预定的方法/工具使测评对象(各类设备或安全配置)产生特定的结果，将运行结果与预期的结果进行比对的过程。,信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,null,信息安全技术网络安全等级保护测评要求,3 术语和定位,3.3 测试,null,null,通用
5,3.4 评估 evaluate 对测评对象可能存在的威胁及其可能产生的后果进行综合评价和预测的过程。,信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,null,信息安全技术网络安全等级保护测评要求,3 术语和定位,3.4 评估,null,null,通用
6,3.5 测评对象 target of testing and evaluation 等级测评过程中不同测评方法作用的对象，主要涉及相关配套制度文档、设备设施及人员等。,信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,null,信息安全技术网络安全等级保护测评要求,3 术语和定位,3.5 测评对象,null,null,通用
7,3.6 等级测评 testing and evaluation for classified cybersecurity protection 测评机构依据国家网络安全等级保护制度规定，按照有关管理规范和技术标准，对非涉及国家秘密的网络安全等级保护状况进行检测评估的活动。,信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,null,信息安全技术网络安全等级保护测评要求,3 术语和定位,3.6 等级测评,null,null,通用
8,3.7 云服务商 cloud service provider 云计算服务的供应方。注：云服务商管理、运营、支撑云计算的计算基础设施及软件，通过网络交付云计算的资源。[GB/T31167-2014，定义3.3],信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,null,信息安全技术网络安全等级保护测评要求,3 术语和定位,3.7 云服务商,null,null,通用
9,3.8 云服务客户 cloud service customer 为使用云计算服务同云服务商建立业务关系的参与方。[GB/T31168-2014，定义3.4],信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,null,信息安全技术网络安全等级保护测评要求,3 术语和定位,3.8 云服务客户,null,null,通用
10,3.9 虚拟机监视器 hypervisor 运行在基础物理服务器和操作系统之间的中间软件层，可允许多个操作系统和应用共享硬件。,信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,null,信息安全技术网络安全等级保护测评要求,3 术语和定位,3.9 虚拟机监视器,null,null,通用
