requirement_id,requirement_item,要求项详细描述,要求项别名
1,物理访问控制,对人员进出机房、数据中心等物理区域进行管控。若未落实，可能导致：未授权人员进入核心区域，窃取设备、篡改系统或造成物理破坏的风险。,"物理访问管控,物理访问管理,门禁,访问控制系统,视频监控,视频,监控,门禁系统,出入管理,物理门禁"
2,物理环境安全,保障机房温湿度、电力、消防、防雷等环境安全。若未落实，可能导致：设备因高温、断电、雷击或火灾而宕机，引发业务中断或数据丢失的风险。,"防火,防水,防潮,防静电,防雷击,温湿度控制,电力供应,电磁防护,物理位置选择,环境安全,机房环境,物理安全环境"
3,身份鉴别,验证用户身份合法性，如用户名密码、双因素、生物识别等。若未落实，可能导致：攻击者冒用合法用户身份登录系统，窃取数据或执行恶意操作的风险。,"身份认证,用户认证,身份验证,authentication,登录认证,双因素认证,多因子认证,生物识别,密码认证"
4,访问控制,基于权限对资源进行访问限制，如RBAC、ACL等。若未落实，可能导致：用户越权访问敏感数据或功能，造成数据泄露、篡改或业务逻辑被绕过的风险。,"权限控制,授权管理,access control,权限分配,角色权限,最小权限,RBAC,ACL,访问策略"
5,安全审计,记录并分析系统操作日志，用于追溯和合规审查。若未落实，可能导致：安全事件无法追溯、违规行为难以发现，且无法满足合规审计要求的风险。,"审计,日志审计,安全日志,操作审计,行为审计,审计跟踪,审计记录,log audit"
6,边界防护,在网络边界部署防护设备，隔离内外网，防范外部攻击。若未落实，可能导致：外部攻击者直接渗透内网，发起扫描、入侵或DDoS攻击的风险。,"网络边界,边界安全,perimeter security,防火墙,网关防护,入侵防御系统,IPS,WAF,边界隔离"
7,入侵防范,检测并阻止网络入侵行为，包括漏洞利用、恶意扫描等。若未落实，可能导致：系统被植入后门、挖矿程序或勒索软件，造成数据泄露或服务瘫痪的风险。,"入侵检测,入侵防护,intrusion prevention,IDS,IPS,威胁检测,攻击防护,实时监控,安全告警"
8,恶意代码防范,防止病毒、木马、勒索软件等恶意程序传播与执行。若未落实，可能导致：终端或服务器感染恶意代码，导致数据加密勒索、信息窃取或系统失控的风险。,"病毒防护,恶意软件防护,malware protection,杀毒,防木马,防勒索,终端防护,EDR,反病毒"
9,数据完整性,确保数据在存储和传输过程中未被篡改。若未落实，可能导致：关键业务数据被恶意修改（如交易金额、用户权限），引发财务损失或信任危机的风险。,"数据一致性,数据校验,data integrity,哈希校验,CRC校验,数字签名,防篡改,完整性保护"
10,数据保密性,通过加密等手段保护数据不被未授权访问。若未落实，可能导致：敏感信息（如身份证号、密码、商业秘密）在传输或存储中被窃取，造成隐私泄露或法律合规风险。,"数据加密,数据保护,data confidentiality,加密存储,加密传输,隐私保护,敏感数据保护,脱敏,SSL/TLS"
11,数据备份与恢复,定期备份关键数据，并在灾难后快速恢复。若未落实，可能导致：因误删、勒索、硬件故障等导致数据永久丢失，业务长时间无法恢复的风险。,"数据备份,备份恢复,disaster recovery,容灾,异地备份,快照,恢复演练,RTO/RPO,数据还原"
12,网络架构,设计合理、安全、可扩展的网络拓扑结构。若未落实，可能导致：网络区域混杂、攻击横向移动无阻，一旦边界失守即全网沦陷的风险。,"网络拓扑,网络设计,network architecture,分区分域,网络隔离,DMZ,VLAN,零信任架构,网络分区"
13,通信传输安全,保障数据在传输过程中的机密性、完整性、可用性。若未落实，可能导致：通信内容被中间人窃听、篡改或重放，如会话劫持、凭证泄露等风险。,"数据传输,网络通信,communication,传输加密,HTTPS,VPN,安全通道,TLS,端到端加密"
14,可信验证,验证系统启动、运行时组件的可信性，如TPM、安全启动。若未落实，可能导致：系统在启动阶段被植入Rootkit或Bootkit，形成持久化隐蔽后门的风险。,"可信计算,信任验证,trusted computing,TPM,启动验证,固件验证,运行时验证,可信链,安全启动"
15,剩余信息保护,清除存储介质中残留的敏感数据，防止被恢复。若未落实，可能导致：废弃硬盘、U盘或内存中残留数据被恢复，造成历史敏感信息泄露的风险。,"数据清除,信息销毁,data sanitization,硬盘消磁,数据擦除,介质销毁,残留数据清理,安全删除,抹盘"
